Ward_Number,ward_Name,pop_2013,total_num,total_solv ,total_rate,excl_num,excl_solv ,excl_rate,viol_num,viol_solv,viol_rate,homi_num,homi_solv,homi_rate,attmu_num,attmu_solv,attmu_rate,rob_num,rob_solv,rob_rate,asslt_num,asslt_solv,asslt_rate,otsex_num,otsex_solv,otsex_rate,abduc_num,adbuc_solv,abduc_rate,intim_num,intim_solv,intim_rate,othrv_num,othrv_solv,othrv_rate,prop_num,prop_solv,prop_rate,break_num,break_solv,break_rate,mvt_num,mvt_solv,mvt_rate,tho5_num,tho5_solv,tho5_rate,thu5_num,thu5_solv,thu5_rate,stol_num,stol_solv,stol_rate,frau_num,frau_solv,frau_rate,mschf_num,mschf_solv,mschf_rate,arsn_num,arsn_solv,arsn_rate,occo_num,occo_solv,occo_rate,weap_num,weap_solv,weap_rate,bailv_num,bailv_solv,bailv_rate,curr_num,curr_solv,curr_rate,brea_num,brea_solv,brea_rate,threa_num,threa_solv,threa_rate,pros_num,pros_solv,pros_rate,misc_num,misc_solv,misc_rate,traff_num,traff_solv,traff_rate,dang_num,dang_solv,dang_rate,impai_num,impai_solv,impai_rate,fail_num,fail_solv,fail_rate,prohi_num,prohi_solv,prohi_rate,otraf_num,otraf_solv,otraf_rate,tdrug_num,tdrug_solv,tdrug_rate,canna_num,canna_solv,canna_rate,ecst_num,ecst_solv,ecst_rate,crysm_num,crysm_solv,crysm_rate,hero_num,hero_solv,hero_rate,cocai_num,cocai_solv,cocai_rate,ocdrg_num ,ocdrg_solv,ocdrg_rate
1,Orleans,49512,949,29.9,1916.7,847,29.8,1710.7,190,53.2,383.7,0,Not Applicable,0,0,Not Applicable,0,13,23.1,26.3,112,61.6,226.2,8,37.5,16.2,3,0,6.1,16,43.8,32.3,38,50,76.7,598,17.9,1207.8,46,23.9,92.9,24,37.5,48.5,7,0,14.1,289,17,583.7,5,120,10.1,84,16.7,169.7,136,13.2,274.7,7,0,14.1,59,74.6,119.2,3,66.7,6.1,29,82.8,58.6,3,0,6.1,3,66.7,6.1,1,0,2,0,Not Applicable,0,20,80,40.4,102,31.4,206,0,Not Applicable,0,30,100,60.6,71,1.4,143.4,1,100,2,0,Not Applicable,0,41,102.4,82.8,37,102.7,74.7,1,100,2,0,Not Applicable,0,1,100,2,0,0,0,2,100,4
2,Innes,40266,933,37.1,2317.1,834,38.5,2071.2,181,57.5,449.5,0,Not Applicable,0,1,100,2.5,26,57.7,64.6,116,60.3,288.1,4,25,9.9,2,50,5,14,57.1,34.8,18,38.9,44.7,534,21,1326.2,50,32,124.2,29,37.9,72,9,33.3,22.4,230,18.3,571.2,4,100,9.9,75,29.3,186.3,135,10.4,335.3,2,0,5,119,88.2,295.5,4,50,9.9,26,84.6,64.6,3,33.3,7.5,3,66.7,7.5,2,0,5,0,Not Applicable,0,81,96.36,201.2,99,25.3,245.9,2,100,5,20,100,49.7,75,1.3,186.3,2,100,5,0,Not Applicable,0,42,95.2,104.3,36,91.7,89.4,1,100,2.5,0,Not Applicable,0,0,Not Applicable,0,3,100,7.5,2,150,5
3,Barrhaven,53989,832,20.4,1541.1,759,19.2,1405.8,118,50.8,218.6,0,Not Applicable,0,0,Not Applicable,0,12,50,22.2,68,66.2,126,3,0,5.6,0,0,0,9,55.6,16.7,26,15.4,48.2,603,10.9,1116.9,55,16.4,101.9,19,15.8,35.2,6,0,11.1,277,11.2,513.1,0,Not Applicable,0,71,21.1,131.5,174,322.3,4.6,1,0,1.9,38,52.6,70.4,3,66.7,5.6,10,60,18.5,5,0,9.3,3,100,5.6,2,0,3.7,0,Not Applicable,0,15,60,27.8,73,32.9,135.2,3,100,5.6,19,100,35.2,49,2,90.8,1,100,1.9,1,0,1.9,27,92.6,50,25,92,46.3,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,2,100,3.7
4,Kanata North,35157,682,24.8,1939.9,581,25.3,1652.6,82,64.6,233.2,0,Not Applicable,0,0,Not Applicable,0,5,20,14.2,50,70,142.2,1,0,2.8,1,100,2.8,6,66.7,17.1,19,63.2,54,476,16.6,1353.9,31,19.4,88.2,11,18.2,31.3,2,50,5.7,243,15.2,691.2,3,66.7,8.5,60,33.3,170.7,126,8.7,358.4,0,Not Applicable,0,23,65.2,65.4,2,100,5.7,6,100,17.1,3,33.3,8.5,1,100,2.8,1,0,2.8,0,Not Applicable,0,10,50,28.4,101,21.8,287.3,1,100,2.8,16,100,45.5,83,4.8,236.1,1,100,2.8,0,Not Applicable,0,31,96.8,88.2,26,96.2,74,2,100,5.7,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,3,100,8.5
5,West Carleton-March,25495,296,28,1161,267,25.8,1047.3,37,73,145.1,0,Not Applicable,0,0,Not Applicable,0,1,100,3.9,21,76.2,82.4,0,Not Applicable,0,0,Not Applicable,0,5,100,19.6,10,50,39.2,217,15.2,851.1,50,22,196.1,13,38.5,51,7,14.3,27.5,63,11.1,247.1,0,Not Applicable,0,24,16.7,94.1,58,6.9,227.5,2,0,7.8,13,69.2,51,0,Not Applicable,0,9,88.9,35.3,0,Not Applicable,0,0,Not Applicable,0,1,0,3.9,0,Not Applicable,0,3,33.3,11.8,29,48.3,113.7,1,100,3.9,12,100,47.1,15,0,58.8,1,100,3.9,0,Not Applicable,0,11,100,43.1,11,100,43.1,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0
6,Stittsville-Kanata West,29642,471,33.3,1589,399,34.1,1346.1,68,61.8,229.4,1,100,3.4,0,Not Applicable,0,4,0,13.5,40,75,134.9,1,100,3.4,0,Not Applicable,0,3,100,10.1,19,36.8,64.1,301,23.9,1015.5,25,32,84.3,7,42.9,23.6,7,14.3,23.6,130,33.1,438.6,1,100,3.4,39,20.5,131.6,91,8.8,307,1,0,3.4,30,73.3,101.2,1,200,3.4,13,76.9,43.9,2,0,6.7,1,100,3.4,6,50,20.2,0,Not Applicable,0,7,85.7,23.6,72,29.2,242.9,3,100,10.1,14,100,47.2,51,2,172.1,3,100,10.1,1,0,3.4,20,100,67.5,18,100,60.7,1,100,3.4,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,1,100,3.4
7,Bay,45504,1896,43.3,4166.7,1740,45.3,3823.8,273,54.9,599.9,2,100,4.4,1,100,2.2,35,20,76.9,173,63,380.2,0,Not Applicable,0,4,75,8.8,22,59.1,48.3,36,41.7,79.1,1338,40.8,2940.4,108,25,237.3,46,15.2,101.1,18,5.6,39.6,812,51.5,1784.5,9,100,19.8,157,34.4,345,180,16.1,395.6,8,12.5,17.6,129,72.1,283.5,9,111.1,19.8,40,92.5,87.9,21,4.8,46.1,23,95.7,50.5,3,66.7,6.6,0,Not Applicable,0,33,63.6,72.5,156,20.5,342.8,6,83.3,13.2,24,100,52.7,123,1.6,270.3,2,50,4.4,1,0,2.2,58,100,127.5,48,100,105.5,1,100,2.2,0,Not Applicable,0,0,Not Applicable,0,6,100,13.2,3,100,6.6
8,College,52911,1769,32.2,3343.4,1614,31.5,3050.4,281,53,531.1,0,Not Applicable,0,0,Not Applicable,0,33,27.3,62.4,168,63.1,317.5,1,100,1.9,1,100,1.9,22,63.6,41.6,56,32.1,105.8,1232,23.9,2328.4,99,17.2,187.1,43,14,81.3,9,0,17,653,26.8,1234.1,7,71.4,13.2,167,34.7,315.6,251,13.5,474.4,3,0,5.7,101,64.4,190.9,5,100,9.4,38,84.2,71.8,10,0,18.9,10,100,18.9,7,14.3,13.2,0,Not Applicable,0,31,54.8,58.6,155,39.4,292.9,4,50,7.6,51,100,96.4,96,4.2,181.4,4,100,7.6,0,Not Applicable,0,58,100,109.6,49,100,92.6,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,6,100,11.3,3,100,5.7
9,Knoxdale-Merivale,39602,1301,29.1,3285.2,1162,27.8,2934.2,164,55.5,414.1,0,Not Applicable,0,0,Not Applicable,0,8,50,20.2,107,57.9,270.2,0,Not Applicable,0,1,0,2.5,13,76.9,32.8,35,42.9,88.4,921,20.1,2325.6,83,21.7,209.6,43,23.3,108.6,18,22.2,45.5,488,22.3,1232.3,7,85.7,17.7,111,18.9,280.3,167,10.2,421.7,4,0,10.1,77,61,194.4,6,66.7,15.2,24,79.2,60.6,4,0,10.1,7,85.7,17.7,7,42.9,17.7,0,Not Applicable,0,29,51.7,73.2,139,39.6,351,5,100,12.6,44,100,111.1,87,3.4,219.7,3,100,7.6,0,Not Applicable,0,28,100,70.7,22,100,55.6,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,6,100,15.2,0,Not Applicable,0
10,Gloucester-Southgate,47545,1697,34.9,3569.3,1558,35.7,3276.9,307,55.7,645.7,1,100,2.1,1,0,2.1,35,28.6,73.6,175,62.9,368.1,1,100,2.1,8,100,16.8,29,79.3,61,57,31.6,119.9,1109,25.9,2332.5,98,22.4,206.1,87,11.5,183,11,9.1,23.1,532,32.9,1118.9,9,44.4,18.9,120,35.8,252.4,241,12,506.9,11,27.3,23.1,142,69,298.7,24,87.5,50.5,55,85.5,115.7,7,0,14.7,6,83.3,12.6,8,12.5,16.8,1,100,2.1,41,56.1,86.2,139,26.6,292.4,6,83.3,12.6,26,100,54.7,102,1,214.5,4,100,8.4,1,100,2.1,57,94.7,119.9,50,94,105.2,0,Not Applicable,0,0,Not Applicable,0,0,Not Applicable,0,5,100,10.5,2,100,4.2
